Transaction ID,Timestamp,User ID,Transaction Amount (INR),Payment Method,Device Type,IP Address,Merchant Category,Transaction Status,Fraudulent,Previous Fraud Records,Credit Score,Transaction Location,Bank Name,Transaction Type,User Age,Is High-Risk Country
TXN00000001,2024-09-08 09:24:07.301682,USER8213,18758.28,Debit Card,POS,192.168.171.251,Food Delivery,Success,0,8,367,Bangalore,SBI,Merchant,33,0
TXN00000002,2024-12-12 12:19:05.301682,USER5369,47538.18,Net Banking,ATM,192.168.149.238,Bill Payment,Success,0,9,800,Ahmedabad,Kotak Mahindra Bank,Merchant,31,0
TXN00000003,2024-05-28 22:09:09.301682,USER7955,36613.1,Wallet,ATM,192.168.84.130,Gaming,Success,1,6,471,Jaipur,SBI,Merchant,24,0
TXN00000004,2024-08-27 20:45:51.301682,USER2185,29952.99,Credit Card,Mobile,192.168.142.149,Bill Payment,Success,0,1,442,Delhi,Axis Bank,International,70,0
TXN00000005,2024-06-24 13:32:12.301682,USER7846,7843.13,Credit Card,Desktop, ,Food Delivery,Success,0,2,496,Lucknow,ICICI Bank,Domestic,50,0
TXN00000006,2024-08-29 06:19:06.301682,USER6283,7841.93,Credit Card,POS,192.168.84.2,Retail,Success,0,1,472,Chennai,HDFC Bank,Merchant,19,0
TXN00000007,2024-12-08 00:34:30.301682,USER1993,2951.28,UPI,POS,192.168.51.11,Travel,Success,0,3,821,Bangalore,Bank of Baroda,Domestic,63,0
TXN00000008,2024-08-14 09:10:59.301682,USER3383,43315.5,UPI,ATM,192.168.12.147,Travel,Success,1,1,489,Lucknow,SBI,Merchant,22,0
TXN00000009,2024-05-29 00:55:57.301682,USER3081,30075.69,Credit Card,ATM,192.168.107.146,Online Shopping,Success,1,3,311,Delhi,ICICI Bank,Domestic,62,0
TXN00000010,2024-08-13 14:52:38.301682,USER4662,35418.23,Debit Card,POS,192.168.172.209,Online Shopping,Success,1,6,328,Jaipur,Bank of Baroda,International,62,0
TXN00000011,2024-04-14 03:12:29.301682,USER2265,1078.2,Debit Card,ATM,192.168.219.140,Online Shopping,Success,0,7,854,Chennai,ICICI Bank,International,56,0
TXN00000012,2024-04-21 14:58:12.301682,USER7283,48497.0,UPI,Mobile,999.999.999.999,Travel,Success,1,9,387,Jaipur,ICICI Bank,International,32,0
TXN00000013,2024-10-10 02:58:53.301682,USER9299,41630.51,Credit Card,POS, ,Bill Payment,Success,0,5,772,Mumbai,Punjab National Bank,Domestic,59,0
TXN00000014,2024-07-04 17:21:24.301682,USER4426,10656.34,Debit Card,ATM,192.168.12.128,Online Shopping,Success,0,8,410,Hyderabad,HDFC Bank,Domestic,19,0
